ejecucion,repeticion,n,poblacion,tasa_mutacion,elitismo,max_generaciones,semilla,mejor_solucion,conflictos,generacion_mejor,generaciones_ejecutadas,tiempo_segundos,exito
n8_p50_m0.05_r01,1,8,50,0.05,2,500,2026,"[2, 5, 1, 6, 4, 0, 7, 3]",0,5,5,0.018942599999718368,True
n8_p50_m0.05_r02,2,8,50,0.05,2,500,2027,"[2, 4, 7, 0, 3, 1, 6, 5]",1,0,500,2.1073407999974734,False
n8_p50_m0.05_r03,3,8,50,0.05,2,500,2028,"[2, 5, 1, 6, 4, 0, 7, 3]",0,0,0,0.0019074999981967267,True
n8_p50_m0.05_r04,4,8,50,0.05,2,500,2029,"[4, 2, 0, 6, 1, 7, 5, 3]",0,9,9,0.05441570000039064,True
n8_p50_m0.05_r05,5,8,50,0.05,2,500,2030,"[2, 5, 7, 1, 3, 0, 6, 4]",0,2,2,0.008067299997492228,True
n8_p50_m0.05_r06,6,8,50,0.05,2,500,2031,"[6, 2, 0, 5, 7, 4, 1, 3]",0,1,1,0.004842499998630956,True
n8_p50_m0.05_r07,7,8,50,0.05,2,500,2032,"[2, 5, 7, 0, 4, 6, 1, 3]",0,1,1,0.004573800000798656,True
n8_p50_m0.05_r08,8,8,50,0.05,2,500,2033,"[4, 6, 0, 2, 7, 5, 3, 1]",0,254,254,1.1488675000000512,True
n8_p50_m0.05_r09,9,8,50,0.05,2,500,2034,"[7, 2, 0, 5, 3, 1, 6, 4]",1,0,500,2.0432613999983005,False
n8_p50_m0.05_r10,10,8,50,0.05,2,500,2035,"[3, 6, 2, 7, 1, 4, 0, 5]",0,100,100,0.44100580000304035,True
n8_p50_m0.10_r01,1,8,50,0.1,2,500,2026,"[4, 2, 7, 3, 6, 0, 5, 1]",0,4,4,0.015093200003320817,True
n8_p50_m0.10_r02,2,8,50,0.1,2,500,2027,"[6, 4, 2, 0, 5, 7, 1, 3]",0,76,76,0.3085503999973298,True
n8_p50_m0.10_r03,3,8,50,0.1,2,500,2028,"[2, 5, 1, 6, 4, 0, 7, 3]",0,0,0,0.0011334999981045257,True
n8_p50_m0.10_r04,4,8,50,0.1,2,500,2029,"[4, 6, 1, 5, 2, 0, 3, 7]",0,4,4,0.015579800001432886,True
n8_p50_m0.10_r05,5,8,50,0.1,2,500,2030,"[2, 5, 1, 4, 7, 0, 6, 3]",0,6,6,0.022836399999505375,True
n8_p50_m0.10_r06,6,8,50,0.1,2,500,2031,"[6, 2, 0, 5, 7, 4, 1, 3]",0,1,1,0.004783700002008118,True
n8_p50_m0.10_r07,7,8,50,0.1,2,500,2032,"[2, 5, 7, 0, 4, 6, 1, 3]",0,1,1,0.013756600001215702,True
n8_p50_m0.10_r08,8,8,50,0.1,2,500,2033,"[2, 5, 1, 4, 7, 0, 6, 3]",0,5,5,0.03424780000204919,True
n8_p50_m0.10_r09,9,8,50,0.1,2,500,2034,"[6, 2, 0, 5, 7, 4, 1, 3]",0,4,4,0.015296999998099636,True
n8_p50_m0.10_r10,10,8,50,0.1,2,500,2035,"[5, 3, 1, 7, 4, 6, 0, 2]",0,17,17,0.06028119999973569,True
n8_p50_m0.20_r01,1,8,50,0.2,2,500,2026,"[3, 0, 4, 7, 5, 2, 6, 1]",0,12,12,0.05866779999996652,True
n8_p50_m0.20_r02,2,8,50,0.2,2,500,2027,"[2, 5, 7, 1, 3, 0, 6, 4]",0,7,7,0.027190900000277907,True
n8_p50_m0.20_r03,3,8,50,0.2,2,500,2028,"[2, 5, 1, 6, 4, 0, 7, 3]",0,0,0,0.0018029999991995282,True
n8_p50_m0.20_r04,4,8,50,0.2,2,500,2029,"[4, 6, 1, 5, 2, 0, 3, 7]",0,5,5,0.01850439999907394,True
n8_p50_m0.20_r05,5,8,50,0.2,2,500,2030,"[3, 1, 6, 2, 5, 7, 4, 0]",0,3,3,0.012287599998671794,True
