ejecucion,repeticion,capacidad,metodo,poblacion,tasa_mutacion,elitismo,max_generaciones,semilla,mejor_individuo,objetos_seleccionados,peso_total,valor_total,fitness,generacion_mejor,generaciones_ejecutadas,tiempo_segundos
27,7,45,penalizacion,100,0.1,2,500,2032,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,31,500,3.9487501999974484
28,8,45,penalizacion,100,0.1,2,500,2033,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,60,500,4.090713400000823
29,9,45,penalizacion,100,0.1,2,500,2034,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,7,500,4.0948554999995395
30,10,45,penalizacion,100,0.1,2,500,2035,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,36,500,4.114770500000304
31,1,45,reparacion,100,0.1,2,500,2026,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,6,500,5.583994799999346
32,2,45,reparacion,100,0.1,2,500,2027,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,4,500,5.91769690000001
33,3,45,reparacion,100,0.1,2,500,2028,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,4,500,5.676978999999847
34,4,45,reparacion,100,0.1,2,500,2029,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,4,500,5.738168500000029
35,5,45,reparacion,100,0.1,2,500,2030,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,6,500,5.721230600000126
36,6,45,reparacion,100,0.1,2,500,2031,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,33,500,5.752199300000939
37,7,45,reparacion,100,0.1,2,500,2032,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,9,500,6.026564200001303
38,8,45,reparacion,100,0.1,2,500,2033,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,6,500,5.848881000001711
39,9,45,reparacion,100,0.1,2,500,2034,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,7,500,5.524573100003181
40,10,45,reparacion,100,0.1,2,500,2035,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,8,500,5.630812799998239
