generacion,distancia_generacion,mejor_distancia
361,329.31823027761055,329.31823027761055
362,329.31823027761055,329.31823027761055
363,329.31823027761055,329.31823027761055
364,329.31823027761055,329.31823027761055
365,329.31823027761055,329.31823027761055
366,329.31823027761055,329.31823027761055
367,329.31823027761055,329.31823027761055
368,329.31823027761055,329.31823027761055
369,329.31823027761055,329.31823027761055
370,329.31823027761055,329.31823027761055
371,329.31823027761055,329.31823027761055
372,329.31823027761055,329.31823027761055
373,329.31823027761055,329.31823027761055
374,329.31823027761055,329.31823027761055
375,329.31823027761055,329.31823027761055
376,329.31823027761055,329.31823027761055
377,329.31823027761055,329.31823027761055
378,329.31823027761055,329.31823027761055
379,329.31823027761055,329.31823027761055
380,329.31823027761055,329.31823027761055
381,329.31823027761055,329.31823027761055
382,329.31823027761055,329.31823027761055
383,329.31823027761055,329.31823027761055
384,329.31823027761055,329.31823027761055
385,329.31823027761055,329.31823027761055
386,329.31823027761055,329.31823027761055
387,329.31823027761055,329.31823027761055
388,329.31823027761055,329.31823027761055
389,329.31823027761055,329.31823027761055
390,329.31823027761055,329.31823027761055
391,329.31823027761055,329.31823027761055
392,329.31823027761055,329.31823027761055
393,329.31823027761055,329.31823027761055
394,329.31823027761055,329.31823027761055
395,329.31823027761055,329.31823027761055
396,329.31823027761055,329.31823027761055
397,329.31823027761055,329.31823027761055
398,329.31823027761055,329.31823027761055
399,329.31823027761055,329.31823027761055
400,329.31823027761055,329.31823027761055
401,329.31823027761055,329.31823027761055
402,329.31823027761055,329.31823027761055
403,329.31823027761055,329.31823027761055
404,329.31823027761055,329.31823027761055
405,329.31823027761055,329.31823027761055
406,329.31823027761055,329.31823027761055
407,329.31823027761055,329.31823027761055
408,329.31823027761055,329.31823027761055
409,329.31823027761055,329.31823027761055
410,329.31823027761055,329.31823027761055
411,329.31823027761055,329.31823027761055
412,329.31823027761055,329.31823027761055
413,329.31823027761055,329.31823027761055
414,329.31823027761055,329.31823027761055
415,329.31823027761055,329.31823027761055
416,329.31823027761055,329.31823027761055
417,329.31823027761055,329.31823027761055
418,329.31823027761055,329.31823027761055
419,329.31823027761055,329.31823027761055
420,329.31823027761055,329.31823027761055
421,329.31823027761055,329.31823027761055
422,329.31823027761055,329.31823027761055
423,329.31823027761055,329.31823027761055
424,329.31823027761055,329.31823027761055
425,329.31823027761055,329.31823027761055
426,329.31823027761055,329.31823027761055
427,329.31823027761055,329.31823027761055
428,329.31823027761055,329.31823027761055
429,329.31823027761055,329.31823027761055
430,329.31823027761055,329.31823027761055
431,329.31823027761055,329.31823027761055
432,329.31823027761055,329.31823027761055
433,329.31823027761055,329.31823027761055
434,329.31823027761055,329.31823027761055
435,329.31823027761055,329.31823027761055
436,329.31823027761055,329.31823027761055
437,329.31823027761055,329.31823027761055
438,329.31823027761055,329.31823027761055
439,329.31823027761055,329.31823027761055
440,329.31823027761055,329.31823027761055
441,329.31823027761055,329.31823027761055
442,329.31823027761055,329.31823027761055
443,329.31823027761055,329.31823027761055
444,329.31823027761055,329.31823027761055
445,329.31823027761055,329.31823027761055
446,329.31823027761055,329.31823027761055
447,329.31823027761055,329.31823027761055
448,329.31823027761055,329.31823027761055
449,329.31823027761055,329.31823027761055
450,329.31823027761055,329.31823027761055
451,329.31823027761055,329.31823027761055
452,329.31823027761055,329.31823027761055
453,329.31823027761055,329.31823027761055
454,329.31823027761055,329.31823027761055
455,329.31823027761055,329.31823027761055
456,329.31823027761055,329.31823027761055
457,329.31823027761055,329.31823027761055
458,329.31823027761055,329.31823027761055
459,329.31823027761055,329.31823027761055
460,329.31823027761055,329.31823027761055
461,329.31823027761055,329.31823027761055
462,329.31823027761055,329.31823027761055
463,329.31823027761055,329.31823027761055
464,329.31823027761055,329.31823027761055
465,329.31823027761055,329.31823027761055
466,329.31823027761055,329.31823027761055
